check_id,description,status,observed,implication
DQ-01,"Case ID, activity and timestamp are populated on every event",PASS,"missing per column: {'number': 0, 'incident_state': 0, 'sys_updated_at': 0}",A null in any of these makes the event unusable for process mining; the row would have to be dropped.
DQ-02,"(case_id, timestamp) uniquely identifies an event",WARN,"14,118 rows share a (number, sys_updated_at) pair (10.0%)","Timestamps are minute-precision, so several updates within the same minute collapse onto one value. The fact table therefore needs a surrogate event key and an explicit within-case sequence number, not a natural key."
DQ-03,No fully duplicated event rows,PASS,0 identical rows,Exact duplicates would double-count volume and distort dwell times.
DQ-04,All non-'?' timestamps parse as %d/%m/%Y %H:%M,PASS,"unparseable per column: {'opened_at': 0, 'sys_created_at': 0, 'sys_updated_at': 0, 'resolved_at': 0, 'closed_at': 0}",Confirms the source uses day-first European format. Parsing these as month-first would silently corrupt every duration in the project.
DQ-05,Columns at least 90% unknown are identified,WARN,caused_by 99.98%; vendor 99.83%; cmdb_ci 99.69%; rfc 99.3%; problem_id 98.38%,These carry almost no signal. They are excluded from the dimensional model rather than shipped as near-empty attributes that invite false conclusions.
DQ-06,Every incident_state is a recognised process activity,WARN,5 events in unrecognised states: {'-100': 5},"Sentinel values like '-100' are source-system artefacts, not real process steps. Left in, they appear as a phantom activity in the process map."
DQ-07,Cases ending in Resolved/Closed carry a resolved_at timestamp,WARN,"1,556 of 21,668 terminal cases have resolved_at unknown",Cycle time cannot be computed for these; they must be excluded from the cycle-time denominator rather than counted as zero duration.
DQ-08,"closed_at is distributed, not concentrated on batch timestamps",FAIL,"2,707 distinct values over 141,712 events; top 5 = {'24/3/2016 18:59': 3324, '24/3/2016 18:50': 2846, '24/3/2016 18:40': 2808, '24/3/2016 19:00': 2780, '24/3/2016 19:01': 2044}","A handful of timestamps account for a large share of all closures: an automated bulk-close job, not real agent activity. closed_at is therefore NOT a valid basis for cycle time. resolved_at is used instead."
DQ-09,made_sla is constant across all events of a case,FAIL,"9,114 of 24,918 cases (36.6%) change made_sla mid-case","made_sla is a live evaluation that flips the moment the clock is breached, not a static outcome. Counting it at event grain would overstate attainment. The case-grain fact must take the LAST observed value per case."
DQ-10,Events within a case are chronologically consistent,PASS,0 negative time gaps after sorting,Negative dwell times would corrupt bottleneck analysis.
DQ-11,resolved_at is never earlier than opened_at,PASS,"0 events of 138,571 comparable have resolved_at < opened_at","Negative cycle times must be quarantined, never averaged in."
DQ-12,Case-level attributes are stable across a case's events,WARN,"cases with more than one distinct value: {'priority': 383, 'category': 1216, 'contact_type': 5, 'caller_id': 3}","Attributes that change mid-case cannot be modelled as static case dimensions; the case-grain fact takes the last observed value, consistent with DQ-09."
